property_set_name,applicable_entities,applicable_type_value,property_definitions
Pset_AirTerminalBoxTypeCommon,['IfcAirTerminalBoxType'],,"[{'property_name': 'AirflowRateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'values': ['0', '?'], 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'AirPressureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcPressureMeasure', 'values': ['0', '?'], 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'NominalAirFlowRate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'ArrangementType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalBoxArrangementType', 'values': ['SINGLEDUCT', 'DUALDUCT', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'ReheatType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalBoxReheatType', 'values': ['ELECTRICALREHEAT', 'WATERCOILREHEAT', 'STEAMCOILREHEAT', 'GASREHEAT', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'HasSoundAttenuator', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'HasReturnAir', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'HasFan', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'NominalInletAirPressure', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'NominalDamperDiameter', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'Material', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'HousingThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'OperationTemperatureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'values': ['0', '?'], 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'ReturnAirFractionRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'values': ['0', '?'], 'unit_type': 'None'}}, {'property_name': 'Weight', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcMassMeasure', 'unit_type': ['MASSUNIT']}}]"
Pset_AirTerminalPHistory,['IfcPerformanceHistory'],,"[{'property_name': 'AirFlowRate', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'NeckAirVelocity', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['LINEARVELOCITYUNIT']}}, {'property_name': 'SupplyAirTemperatureHeating', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'SupplyAirTemperatureCooling', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'PressureDrop', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'InductionRatio', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcReal', 'values': ['1', '2', '3'], 'unit_type': ['USERDEFINED']}, {'instance': 'IfcLengthMeasure', 'values': ['0', '0', '0'], 'unit_type': ['LENGTHUNIT']}]}, {'property_name': 'CenterlineAirVelocity', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcLinearVelocityMeasure', 'values': ['1', '2', '3'], 'unit_type': ['LINEARVELOCITYUNIT']}, {'instance': 'IfcLengthMeasure', 'values': ['0', '0', '0'], 'unit_type': ['LENGTHUNIT']}]}]"
Pset_AirTerminalTypeCommon,['IfcAirTerminalType'],,"[{'property_name': 'Shape', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalShape', 'values': ['ROUND', 'RECTANGULAR', 'SQUARE', 'SLOT', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'FlowPattern', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFlowPattern', 'values': ['LINEARSINGLE', 'LINEARDOUBLE', 'LINEARFOURWAY', 'RADIAL', 'SWIRL', 'DISPLACMENT', 'COMPACTJET', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AirFlowrateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'values': ['0', '?'], 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'TemperatureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'values': ['0', '?'], 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'DischargeDirection', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalDischargeDirection', 'values': ['PARALLEL', 'PERPENDICULAR', 'ADJUSTABLE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'ThrowLength', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'AirDiffusionPerformanceIndex', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'Material', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'FinishType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFinishType', 'values': ['ANNODIZED', 'PAINTED', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'FinishColor', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'MountingType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalMountingType', 'values': ['SURFACE', 'FLATFLUSH', 'LAYIN', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'CoreType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalCoreType', 'values': ['SHUTTERBLADE', 'CURVEDBLADE', 'REMOVABLE', 'REVERSIBLE', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'CoreSetHorizontal', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': ['PLANEANGLEUNIT']}}, {'property_name': 'CoreSetVertical', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': ['PLANEANGLEUNIT']}}, {'property_name': 'HasIntegralControl', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'FlowControlType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFlowControlType', 'values': ['DAMPER', 'BELLOWS', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'HasSoundAttenuator', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'HasThermalInsulation', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'NeckArea', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': ['AREAUNIT']}}, {'property_name': 'EffectiveArea', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': ['AREAUNIT']}}, {'property_name': 'Weight', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcMassMeasure', 'unit_type': ['MASSUNIT']}}, {'property_name': 'AirFlowrateVersusFlowControlElement', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcVolumetricFlowRateMeasure', 'values': ['1', '2', '3', '4', '5', None], 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}, {'instance': 'IfcPositiveRatioMeasure', 'values': ['0', '0', '0', '0', '0', None], 'unit_type': ['']}]}]"
Pset_AirTerminalTypeRectangular,['IfcAirTerminalType'],PSET.Pset_AirTerminalTypeCommon.Shape=RECTANGULAR,"[{'property_name': 'FaceType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFaceType', 'values': ['FOURWAYPATTERN', 'SINGLEDEFLECTION', 'DOUBLEDEFLECTION', 'SIGHTPROOF', 'EGGCRATE', 'PERFORATED', 'LOUVERED', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_AirTerminalTypeRound,['IfcAirTerminalType'],PSET.Pset_AirTerminalTypeCommon.Shape=ROUND,"[{'property_name': 'FaceType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFaceType', 'values': ['FOURWAYPATTERN', 'SINGLEDEFLECTION', 'DOUBLEDEFLECTION', 'SIGHTPROOF', 'EGGCRATE', 'PERFORATED', 'LOUVERED', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_AirTerminalTypeSlot,['IfcAirTerminalType'],PSET.Pset_AirTerminalTypeCommon.Shape=SLOT,"[{'property_name': 'SlotWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'SlotLength', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'NumberOfSlots', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcInteger', 'unit_type': ['INTEGERCOUNTRATEUNIT']}}]"
Pset_AirTerminalTypeSquare,['IfcAirTerminalType'],PSET.Pset_AirTerminalTypeCommon.Shape=SQUARE,"[{'property_name': 'FaceType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFaceType', 'values': ['FOURWAYPATTERN', 'SINGLEDEFLECTION', 'DOUBLEDEFLECTION', 'SIGHTPROOF', 'EGGCRATE', 'PERFORATED', 'LOUVERED', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_AirToAirHeatRecoveryPHist,['IfcPerformanceHistory'],,"[{'property_name': 'SensibleEffectiveness', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'TotalEffectiveness', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'TemperatureEffectiveness', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'DefrostTemperatureEffectiveness', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'HumidityEffectiveness', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'SensibleHeatTransferRate', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'LatentHeatTransferRate', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'TotalHeatTransferRate', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'SensibleEffectivenessTable', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'TotalEffectivenessTable', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}, {'property_name': 'AirPressureDropCurves', 'property_type': None, 'data_type': {'instance': 'IfcTimeSeries', 'unit_type': 'None'}}]"
Pset_AirToAirHeatRecoveryTypeCommon,['IfcAirToAirHeatRecoveryType'],,"[{'property_name': 'HeatTransferTypeEnum', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirToAirHeatTransferHeatTransferType', 'values': ['SENSIBLE', 'LATENT', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'MediaMaterial', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcMaterial'}}, {'property_name': 'HasDefrost', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'OperationalTemperatureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'values': ['0', '?'], 'unit_type': ['THERMODYNAMICTEMPERATUREUNIT']}}, {'property_name': 'PrimaryAirflowRateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'values': ['0', '?'], 'unit_type': ['VOLUMETRICFLOWRATEUNIT']}}, {'property_name': 'SecondaryAirflowRateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcPressureMeasure', 'values': ['0', '?'], 'unit_type': ['PRESSUREUNIT']}}, {'property_name': 'Weight', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcMassMeasure', 'unit_type': ['MASSUNIT']}}]"
Pset_AnalogInput,['IfcDistributionControlElement'],,"[{'property_name': 'HighLimit', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'LowLimit', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'Deadband', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'HighLimitEnable', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'LowLimitEnable', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'EventEnable', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_BACnetEventEnableType', 'values': ['To-OffNormal', 'To-Fault', 'To-Normal', 'Other', 'NotKnown', 'Unset']}}, {'property_name': 'NotifyType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_BACnetNotifyType', 'values': ['Alarm', 'Event', 'AcknowledgeNotification', 'Other', 'NotKnown', 'Unset']}}]"
Pset_AnalogOutput,['IfcDistributionControlElement'],,"[{'property_name': 'HighLimit', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'LowLimit', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'Deadband', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': ['USERDEFINED']}}, {'property_name': 'HighLimitEnable', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'LowLimitEnable', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'EventEnable', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_BACnetEventEnableType', 'values': ['To-OffNormal', 'To-Fault', 'To-Normal', 'Other', 'NotKnown', 'Unset']}}, {'property_name': 'NotifyType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_BACnetNotifyType', 'values': ['Alarm', 'Event', 'AcknowledgeNotification', 'Other', 'NotKnown', 'Unset']}}]"
Pset_Asset,['IfcAsset'],,"[{'property_name': 'AssetAccountingType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AssetAccountingType', 'values': ['Fixed', 'NonFixed', 'Other', 'NotKnown', 'Unset']}}, {'property_name': 'AssetTaxType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AssetTaxType', 'values': ['Capitalised', 'Expensed', 'Other', 'NotKnown', 'Unset']}}, {'property_name': 'AssetInsuranceType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AssetInsuranceType', 'values': ['Personal', 'Real', 'Other', 'NotKnown', 'Unset']}}]"
Pset_BeamCommon,['IfcBeam'],,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Span', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': ['LENGTHUNIT']}}, {'property_name': 'Slope', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': ['PLANEANGLEUNIT']}}, {'property_name': 'IsExternal', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'LoadBearing', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'FireRating', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}]"
