property_set_name,template_type,applicable_entities,applicable_type_value,property_definitions
Pset_AirTerminalBoxPHistory,PSET_PERFORMANCEDRIVEN,['IfcAirTerminalBox'],IfcAirTerminalBox,"[{'property_name': 'DamperPosition', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'AtmosphericPressure', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Sound', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'AirflowCurve', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_AirTerminalBoxTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcAirTerminalBox'],IfcAirTerminalBox,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AirflowRateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'AirPressureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcPressureMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'NominalAirFlowRate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': 'None'}}, {'property_name': 'ArrangementType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalBoxArrangementType', 'enums': ['SINGLEDUCT', 'DUALDUCT', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'ReheatType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalBoxReheatType', 'enums': ['ELECTRICALREHEAT', 'WATERCOILREHEAT', 'STEAMCOILREHEAT', 'GASREHEAT', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'HasSoundAttenuator', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'HasReturnAir', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'HasFan', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'NominalInletAirPressure', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPressureMeasure', 'unit_type': 'None'}}, {'property_name': 'NominalDamperDiameter', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'HousingThickness', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'OperationTemperatureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'ReturnAirFractionRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcPositiveRatioMeasure', 'bounds': [], 'unit_type': 'None'}}]"
Pset_AirTerminalOccurrence,PSET_OCCURRENCEDRIVEN,['IfcAirTerminal'],IfcAirTerminal,"[{'property_name': 'AirflowType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalAirflowType', 'enums': ['SUPPLYAIR', 'RETURNAIR', 'EXHAUSTAIR', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AirFlowRate', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'unit_type': 'None'}}, {'property_name': 'Location', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalLocation', 'enums': ['SIDEWALLHIGH', 'SIDEWALLLOW', 'CEILINGPERIMETER', 'CEILINGINTERIOR', 'FLOOR', 'SILL', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_AirTerminalPHistory,PSET_PERFORMANCEDRIVEN,['IfcAirTerminal'],IfcAirTerminal,"[{'property_name': 'AirFlowRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'NeckAirVelocity', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'SupplyAirTemperatureHeating', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'SupplyAirTemperatureCooling', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'PressureDrop', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'InductionRatio', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcReal', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcLengthMeasure', 'values': [], 'unit_type': 'None'}]}, {'property_name': 'CenterlineAirVelocity', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcLinearVelocityMeasure', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcLengthMeasure', 'values': [], 'unit_type': 'None'}]}]"
Pset_AirTerminalTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcAirTerminal'],IfcAirTerminal,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'Shape', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalShape', 'enums': ['ROUND', 'RECTANGULAR', 'SQUARE', 'SLOT', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'FaceType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFaceType', 'enums': ['FOURWAYPATTERN', 'SINGLEDEFLECTION', 'DOUBLEDEFLECTION', 'SIGHTPROOF', 'EGGCRATE', 'PERFORATED', 'LOUVERED', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'SlotWidth', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'SlotLength', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'NumberOfSlots', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcInteger', 'unit_type': 'None'}}, {'property_name': 'FlowPattern', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFlowPattern', 'enums': ['LINEARSINGLE', 'LINEARDOUBLE', 'LINEARFOURWAY', 'RADIAL', 'SWIRL', 'DISPLACMENT', 'COMPACTJET', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AirFlowrateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'TemperatureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'DischargeDirection', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalDischargeDirection', 'enums': ['PARALLEL', 'PERPENDICULAR', 'ADJUSTABLE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'ThrowLength', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'AirDiffusionPerformanceIndex', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcReal', 'unit_type': 'None'}}, {'property_name': 'FinishType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFinishType', 'enums': ['ANNODIZED', 'PAINTED', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'FinishColor', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLabel', 'unit_type': 'None'}}, {'property_name': 'MountingType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalMountingType', 'enums': ['SURFACE', 'FLATFLUSH', 'LAYIN', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'CoreType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalCoreType', 'enums': ['SHUTTERBLADE', 'CURVEDBLADE', 'REMOVABLE', 'REVERSIBLE', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'CoreSetHorizontal', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': 'None'}}, {'property_name': 'CoreSetVertical', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPlaneAngleMeasure', 'unit_type': 'None'}}, {'property_name': 'HasIntegralControl', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'FlowControlType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AirTerminalFlowControlType', 'enums': ['DAMPER', 'BELLOWS', 'NONE', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'HasSoundAttenuator', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'HasThermalInsulation', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'NeckArea', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': 'None'}}, {'property_name': 'EffectiveArea', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcAreaMeasure', 'unit_type': 'None'}}, {'property_name': 'AirFlowrateVersusFlowControlElement', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcVolumetricFlowRateMeasure', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcPositiveRatioMeasure', 'values': [], 'unit_type': 'None'}]}]"
Pset_AirToAirHeatRecoveryPHistory,PSET_PERFORMANCEDRIVEN,['IfcAirToAirHeatRecovery'],IfcAirToAirHeatRecovery,"[{'property_name': 'SensibleEffectiveness', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'TotalEffectiveness', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'TemperatureEffectiveness', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'DefrostTemperatureEffectiveness', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'HumidityEffectiveness', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'SensibleHeatTransferRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'LatentHeatTransferRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'TotalHeatTransferRate', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'SensibleEffectivenessTable', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'TotalEffectivenessTable', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'AirPressureDropCurves', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_AirToAirHeatRecoveryTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcAirToAirHeatRecovery'],IfcAirToAirHeatRecovery,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'HeatTransferType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': None, 'enums': []}}, {'property_name': 'HasDefrost', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcBoolean', 'unit_type': 'None'}}, {'property_name': 'OperationalTemperatureRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcThermodynamicTemperatureMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'PrimaryAirflowRateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcVolumetricFlowRateMeasure', 'bounds': [], 'unit_type': 'None'}}, {'property_name': 'SecondaryAirflowRateRange', 'property_type': 'IfcPropertyBoundedValue', 'data_type': {'instance': 'IfcPressureMeasure', 'bounds': [], 'unit_type': 'None'}}]"
Pset_AlarmPHistory,PSET_PERFORMANCEDRIVEN,['IfcAlarm'],IfcAlarm,"[{'property_name': 'Enabled', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Condition', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Severity', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'Acknowledge', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'User', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
Pset_AlarmTypeCommon,PSET_TYPEDRIVENOVERRIDE,['IfcAlarm'],IfcAlarm,"[{'property_name': 'Reference', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcIdentifier', 'unit_type': 'None'}}, {'property_name': 'Status', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_ElementStatus', 'enums': ['NEW', 'EXISTING', 'DEMOLISH', 'TEMPORARY', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'Condition', 'property_type': 'IfcPropertyTableValue', 'data_type': [{'instance': 'IfcIdentifier', 'values': [], 'unit_type': 'None'}, {'instance': 'IfcLabel', 'values': [], 'unit_type': 'None'}]}]"
Pset_AnnotationContourLine,PSET_TYPEDRIVENOVERRIDE,['IfcAnnotation/ContourLine'],IfcAnnotation/ContourLine,"[{'property_name': 'ContourValue', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcLengthMeasure', 'unit_type': 'None'}}]"
Pset_AnnotationLineOfSight,PSET_TYPEDRIVENOVERRIDE,['IfcAnnotation/LineOfSight'],IfcAnnotation/LineOfSight,"[{'property_name': 'SetbackDistance', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'VisibleAngleLeft', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositivePlaneAngleMeasure', 'unit_type': 'None'}}, {'property_name': 'VisibleAngleRight', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositivePlaneAngleMeasure', 'unit_type': 'None'}}, {'property_name': 'RoadVisibleDistanceLeft', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}, {'property_name': 'RoadVisibleDistanceRight', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcPositiveLengthMeasure', 'unit_type': 'None'}}]"
Pset_AnnotationSurveyArea,PSET_TYPEDRIVENOVERRIDE,['IfcAnnotation/SurveyArea'],IfcAnnotation/SurveyArea,"[{'property_name': 'AcquisitionMethod', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AcquisitionMethod', 'enums': ['GPS', 'LASERSCAN_AIRBORNE', 'LASERSCAN_GROUND', 'SONAR', 'THEODOLITE', 'USERDEFINED', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AccuracyQualityObtained', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcRatioMeasure', 'unit_type': 'None'}}, {'property_name': 'AccuracyQualityExpected', 'property_type': 'IfcPropertySingleValue', 'data_type': {'instance': 'IfcRatioMeasure', 'unit_type': 'None'}}]"
Pset_Asset,PSET_TYPEDRIVENOVERRIDE,['IfcAsset'],IfcAsset,"[{'property_name': 'AssetAccountingType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AssetAccountingType', 'enums': ['FIXED', 'NONFIXED', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AssetTaxType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AssetTaxType', 'enums': ['CAPITALISED', 'EXPENSED', 'OTHER', 'NOTKNOWN', 'UNSET']}}, {'property_name': 'AssetInsuranceType', 'property_type': 'IfcPropertyEnumeratedValue', 'data_type': {'instance': 'PEnum_AssetInsuranceType', 'enums': ['PERSONAL', 'REAL', 'OTHER', 'NOTKNOWN', 'UNSET']}}]"
Pset_AudioVisualAppliancePHistory,PSET_PERFORMANCEDRIVEN,['IfcAudioVisualAppliance'],IfcAudioVisualAppliance,"[{'property_name': 'PowerState', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'MediaSource', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'MediaContent', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}, {'property_name': 'AudioVolume', 'property_type': 'IfcPropertyReferenceValue', 'data_type': {'instance': 'IfcTimeSeries'}}]"
